N,F/P,P/F,F/A,P/A,A/F,A/P
1,1.0025,0.9975,1.0000,0.9975,1.0000,1.0025
2,1.0050,0.9950,2.0025,1.9925,0.4994,0.5019
3,1.0075,0.9925,3.0075,2.9851,0.3325,0.3350
4,1.0100,0.9901,4.0150,3.9751,0.2491,0.2516
5,1.0126,0.9876,5.0251,4.9627,0.1990,0.2015
6,1.0151,0.9851,6.0376,5.9478,0.1656,0.1681
7,1.0176,0.9827,7.0527,6.9305,0.1418,0.1443
8,1.0202,0.9802,8.0704,7.9107,0.1239,0.1264
9,1.0227,0.9778,9.0905,8.8885,0.1100,0.1125
10,1.0253,0.9753,10.1133,9.8639,0.0989,0.1014
11,1.0278,0.9729,11.1385,10.8368,0.0898,0.0923
12,1.0304,0.9705,12.1664,11.8073,0.0822,0.0847
13,1.0330,0.9681,13.1968,12.7753,0.0758,0.0783
14,1.0356,0.9656,14.2298,13.7410,0.0703,0.0728
15,1.0382,0.9632,15.2654,14.7042,0.0655,0.0680
16,1.0408,0.9608,16.3035,15.6650,0.0613,0.0638
17,1.0434,0.9584,17.3443,16.6235,0.0577,0.0602
18,1.0460,0.9561,18.3876,17.5795,0.0544,0.0569
19,1.0486,0.9537,19.4336,18.5332,0.0515,0.0540
20,1.0512,0.9513,20.4822,19.4845,0.0488,0.0513
21,1.0538,0.9489,21.5334,20.4334,0.0464,0.0489
22,1.0565,0.9466,22.5872,21.3800,0.0443,0.0468
23,1.0591,0.9442,23.6437,22.3241,0.0423,0.0448
24,1.0618,0.9418,24.7028,23.2660,0.0405,0.0430
25,1.0644,0.9395,25.7646,24.2055,0.0388,0.0413
