N,F/P,P/F,P/A,A/F,A/P,P/G,A/G 
1,1.2000,0.8333,1.0000,0.8333,1.0000,1.2000,0.000,0.0000
2,1.4400,0.6944,2.2000,1.5278,0.4545,0.6545,0.694,0.4545
3,1.7280,0.5787,3.6400,2.1065,0.2747,0.4747,1.852,0.8791
4,2.0736,0.4823,5.3680,2.5887,0.1863,0.3863,3.299,1.2742
5,2.4883,0.4019,7.4416,2.9906,0.1344,0.3344,4.906,1.6405
6,2.9860,0.3349,9.9299,3.3255,0.1007,0.3007,6.581,1.9788
7,3.5832,0.2791,12.9159,3.6046,0.0774,0.2774,8.255,2.2902
8,4.2998,0.2326,16.4991,3.8372,0.0606,0.2606,9.883,2.5756
9,5.1598,0.1938,20.7989,4.0310,0.0481,0.2481,11.434,2.8364
10,6.1917,0.1615,25.9587,4.1925,0.0385,0.2385,12.887,3.0739
11,7.4301,0.1346,32.1504,4.3271,0.0311,0.2311,14.233,3.2893
12,8.9161,0.1122,39.5805,4.4392,0.0253,0.2253,15.467,3.4841
13,10.6993,0.0935,48.4966,4.5327,0.0206,0.2206,16.588,3.6597
14,12.8392,0.0779,59.1959,4.6106,0.0169,0.2169,17.601,3.8175
15,15.4070,0.0649,72.0351,4.6755,0.0139,0.2139,18.510,3.9588
16,18.4884,0.0541,87.4421,4.7296,0.0114,0.2114,19.321,4.0851
17,22.1861,0.0451,105.9306,4.7746,0.0094,0.2094,20.042,4.1976
18,26.6233,0.0376,128.1167,4.8122,0.0078,0.2078,20.681,4.2975
19,31.9480,0.0313,154.7400,4.8435,0.0065,0.2065,21.244,4.3861
20,38.3376,0.0261,186.6880,4.8696,0.0054,0.2054,21.740,4.4643
21,46.0051,0.0217,225.0256,4.8913,0.0044,0.2044,22.174,4.5334
22,55.2061,0.0181,271.0307,4.9094,0.0037,0.2037,22.555,4.5941
23,66.2474,0.0151,326.2369,4.9245,0.0031,0.2031,22.887,4.6475
24,79.4968,0.0126,392.4842,4.9371,0.0025,0.2025,23.176,4.6943
25,95.3962,0.0105,471.9811,4.9476,0.0021,0.2021,23.428,4.7352
30,237.3763,0.0042,1181.8816,4.9789,0.0008,0.2008,24.263,4.8731
35,590.6682,0.0017,2948.3411,4.9915,0.0003,0.2003,24.661,4.9406
40,1469.7716,0.0007,7343.8578,4.9966,0.0001,0.2001,24.847,4.9728
45,3657.2620,0.0003,18281.3099,4.9986,0.0001,0.2001,24.932,4.9877
