"N,F/P,P/F,P/A,A/F,A/P, 
1,1.0500,0.9524,1.0000,0.9524,1.0000,1.0500,
2,1.1025,0.9070,2.0500,1.8594,0.4878,0.5378,
3,1.1576,0.8638,3.1525,2.7232,0.3172,0.3672,
4,1.2155,0.8227,4.3101,3.5460,0.2320,0.2820,
5,1.2763,0.7835,5.5256,4.3295,0.1810,0.2310,
6,1.3401,0.7462,6.8019,5.0757,0.1470,0.1970,
7,1.4071,0.7107,8.1420,5.7864,0.1228,0.1728,
8,1.4775,0.6768,9.5491,6.4632,0.1047,0.1547,
9,1.5513,0.6446,11.0266,7.1078,0.0907,0.1407,
10,1.6289,0.6139,12.5779,7.7217,0.0795,0.1295,
11,1.7103,0.5847,14.2068,8.3064,0.0704,0.1204,
12,1.7959,0.5568,15.9171,8.8633,0.0628,0.1128,
13,1.8856,0.5303,17.7130,9.3936,0.0565,0.1065,
14,1.9799,0.5051,19.5986,9.8986,0.0510,0.1010,
15,2.0789,0.4810,21.5786,10.3797,0.0463,0.0963,
16,2.1829,0.4581,23.6575,10.8378,0.0423,0.0923,
17,2.2920,0.4363,25.8404,11.2741,0.0387,0.0887,
18,2.4066,0.4155,28.1324,11.6896,0.0355,0.0855,
19,2.5270,0.3957,30.5390,12.0853,0.0327,0.0827,
20,2.6533,0.3769,33.0660,12.4622,0.0302,0.0802,
21,2.7860,0.3589,35.7193,12.8212,0.0280,0.0780,
22,2.9253,0.3418,38.5052,13.1630,0.0260,0.0760,
23,3.0715,0.3256,41.4305,13.4886,0.0241,0.0741,
24,3.2251,0.3101,44.5020,13.7986,0.0225,0.0725,
25,3.3864,0.2953,47.7271,14.0939,0.0210,0.0710,"
