"N,F/P,P/F,P/A,A/F,A/P,
,1.0700,0.9346,1.0000,0.9346,1.0000,1.0700,
2,1.1449,0.8734,2.0700,1.8080,0.4831,0.5531,
3,1.2250,0.8163,3.2149,2.6243,0.3111,0.3811,
4,1.3108,0.7629,4.4399,3.3872,0.2252,0.2952,
5,1.4026,0.7130,5.7507,4.1002,0.1739,0.2439,
6,1.5007,0.6663,7.1533,4.7665,0.1398,0.2098,
7,1.6058,0.6227,8.6540,5.3893,0.1156,0.1856,
8,1.7182,0.5820,10.2598,5.9713,0.0975,0.1675,
9,1.8385,0.5439,11.9780,6.5152,0.0835,0.1535,
10,1.9672,0.5083,13.8164,7.0236,0.0724,0.1424,
11,2.1049,0.4751,15.7836,7.4987,0.0634,0.1334,
12,2.2522,0.4440,17.8885,7.9427,0.0559,0.1259,
13,2.4098,0.4150,20.1406,8.3577,0.0497,0.1197,
14,2.5785,0.3878,22.5505,8.7455,0.0443,0.1143,
15,2.7590,0.3624,25.1290,9.1079,0.0398,0.1098,
16,2.9522,0.3387,27.8881,9.4466,0.0359,0.1059,
17,3.1588,0.3166,30.8402,9.7632,0.0324,0.1024,
18,3.3799,0.2959,33.9990,10.0591,0.0294,0.0994,
19,3.6165,0.2765,37.3790,10.3356,0.0268,0.0968,
20,3.8697,0.2584,40.9955,10.5940,0.0244,0.0944,
21,4.1406,0.2415,44.8652,10.8355,0.0223,0.0923,
22,4.4304,0.2257,49.0057,11.0612,0.0204,0.0904,
23,4.7405,0.2109,53.4361,11.2722,0.0187,0.0887,
24,5.0724,0.1971,58.1767,11.4693,0.0172,0.0872,
25,5.4274,0.1842,63.2490,11.6536,0.0158,0.0858, "
